wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 9oqhpd7k
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260710_201931-9oqhpd7k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.95_pruning_ratio_0.3_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/9oqhpd7k
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.95
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.95 | total_steps=108000 | t_end=86400 

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:31<04:31,  3.62s/it, acc=0.902, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:34<04:31,  3.62s/it, acc=0.913, lr=0.001, test_acc=0.491]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:34<04:27,  3.62s/it, acc=0.913, lr=0.001, test_acc=0.491]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:34<04:27,  3.62s/it, acc=0.913, lr=0.001, test_acc=0.491]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:38<04:27,  3.62s/it, acc=0.932, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 26:  27%|██▋       | 27/100 [01:38<04:24,  3.63s/it, acc=0.932, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:38<04:24,  3.63s/it, acc=0.932, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:41<04:24,  3.63s/it, acc=0.933, lr=0.001, test_acc=0.404]
Iter 0 | Epoch 27:  28%|██▊       | 28/100 [01:41<04:20,  3.62s/it, acc=0.933, lr=0.001, test_acc=0.404]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:41<04:20,  3.62s/it, acc=0.933, lr=0.001, test_acc=0.404]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:45<04:20,  3.62s/it, acc=0.942, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 28:  29%|██▉       | 29/100 [01:45<04:16,  3.62s/it, acc=0.942, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:45<04:16,  3.62s/it, acc=0.942, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:49<04:16,  3.62s/it, acc=0.945, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 29:  30%|███       | 30/100 [01:49<04:13,  3.62s/it, acc=0.945, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:49<04:13,  3.62s/it, acc=0.945, lr=0.001, test_acc=0.447]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:52<04:13,  3.62s/it, acc=0.952, lr=0.001, test_acc=0.492]
Iter 0 | Epoch 30:  31%|███       | 31/100 [01:52<04:09,  3.62s/it, acc=0.952, lr=0.001, test_acc=0.492]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:52<04:09,  3.62s/it, acc=0.952, lr=0.001, test_acc=0.492]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:56<04:09,  3.62s/it, acc=0.951, lr=0.001, test_acc=0.349]
Iter 0 | Epoch 31:  32%|███▏      | 32/100 [01:56<04:06,  3.62s/it, acc=0.951, lr=0.001, test_acc=0.349]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:56<04:06,  3.62s/it, acc=0.951, lr=0.001, test_acc=0.349]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [02:00<04:06,  3.62s/it, acc=0.956, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 32:  33%|███▎      | 33/100 [02:00<04:02,  3.62s/it, acc=0.956, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [02:00<04:02,  3.62s/it, acc=0.956, lr=0.001, test_acc=0.471]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [02:03<04:02,  3.62s/it, acc=0.956, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 33:  34%|███▍      | 34/100 [02:03<03:58,  3.62s/it, acc=0.956, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [02:03<03:58,  3.62s/it, acc=0.956, lr=0.001, test_acc=0.493]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [02:07<03:58,  3.62s/it, acc=0.953, lr=0.001, test_acc=0.512]
Iter 0 | Epoch 34:  35%|███▌      | 35/100 [02:07<03:55,  3.62s/it, acc=0.953, lr=0.001, test_acc=0.512]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [02:07<03:55,  3.62s/it, acc=0.953, lr=0.001, test_acc=0.512]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [02:10<03:55,  3.62s/it, acc=0.963, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 35:  36%|███▌      | 36/100 [02:10<03:51,  3.62s/it, acc=0.963, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [02:10<03:51,  3.62s/it, acc=0.963, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [02:14<03:51,  3.62s/it, acc=0.963, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 36:  37%|███▋      | 37/100 [02:14<03:48,  3.62s/it, acc=0.963, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [02:14<03:48,  3.62s/it, acc=0.963, lr=0.001, test_acc=0.465]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [02:18<03:48,  3.62s/it, acc=0.969, lr=0.001, test_acc=0.499]
Iter 0 | Epoch 37:  38%|███▊      | 38/100 [02:18<03:44,  3.63s/it, acc=0.969, lr=0.001, test_acc=0.499]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [02:18<03:44,  3.63s/it, acc=0.969, lr=0.001, test_acc=0.499]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [02:21<03:44,  3.63s/it, acc=0.965, lr=0.001, test_acc=0.459]
Iter 0 | Epoch 38:  39%|███▉      | 39/100 [02:21<03:41,  3.63s/it, acc=0.965, lr=0.001, test_acc=0.459]
