wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run bwnptjto
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260710_203540-bwnptjto
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.99_pruning_ratio_0.3_delta_t_1
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/bwnptjto
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.99
num_mask_updates: 100000
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.99 | total_steps=108000 | t_end=86400 

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 28:  29%|██▉       | 29/100 [01:44<04:14,  3.59s/it, acc=0.606, lr=0.001, test_acc=0.156]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:44<04:14,  3.59s/it, acc=0.606, lr=0.001, test_acc=0.156]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:48<04:14,  3.59s/it, acc=0.615, lr=0.001, test_acc=0.248]
Iter 0 | Epoch 29:  30%|███       | 30/100 [01:48<04:11,  3.59s/it, acc=0.615, lr=0.001, test_acc=0.248]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:48<04:11,  3.59s/it, acc=0.615, lr=0.001, test_acc=0.248]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:52<04:11,  3.59s/it, acc=0.625, lr=0.001, test_acc=0.145]
Iter 0 | Epoch 30:  31%|███       | 31/100 [01:52<04:07,  3.59s/it, acc=0.625, lr=0.001, test_acc=0.145]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:52<04:07,  3.59s/it, acc=0.625, lr=0.001, test_acc=0.145]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:55<04:07,  3.59s/it, acc=0.646, lr=0.001, test_acc=0.258]
Iter 0 | Epoch 31:  32%|███▏      | 32/100 [01:55<04:04,  3.59s/it, acc=0.646, lr=0.001, test_acc=0.258]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:55<04:04,  3.59s/it, acc=0.646, lr=0.001, test_acc=0.258]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:59<04:04,  3.59s/it, acc=0.652, lr=0.001, test_acc=0.123]
Iter 0 | Epoch 32:  33%|███▎      | 33/100 [01:59<04:00,  3.59s/it, acc=0.652, lr=0.001, test_acc=0.123]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:59<04:00,  3.59s/it, acc=0.652, lr=0.001, test_acc=0.123]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [02:02<04:00,  3.59s/it, acc=0.671, lr=0.001, test_acc=0.257]
Iter 0 | Epoch 33:  34%|███▍      | 34/100 [02:02<03:56,  3.59s/it, acc=0.671, lr=0.001, test_acc=0.257]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [02:02<03:56,  3.59s/it, acc=0.671, lr=0.001, test_acc=0.257]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [02:06<03:56,  3.59s/it, acc=0.682, lr=0.001, test_acc=0.294]
Iter 0 | Epoch 34:  35%|███▌      | 35/100 [02:06<03:53,  3.59s/it, acc=0.682, lr=0.001, test_acc=0.294]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [02:06<03:53,  3.59s/it, acc=0.682, lr=0.001, test_acc=0.294]
Iter 0 | Epoch 35:  35%|███▌      | 35/100 [02:10<03:53,  3.59s/it, acc=0.687, lr=0.001, test_acc=0.13] 
Iter 0 | Epoch 35:  36%|███▌      | 36/100 [02:10<03:50,  3.60s/it, acc=0.687, lr=0.001, test_acc=0.13]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [02:10<03:50,  3.60s/it, acc=0.687, lr=0.001, test_acc=0.13]
Iter 0 | Epoch 36:  36%|███▌      | 36/100 [02:13<03:50,  3.60s/it, acc=0.703, lr=0.001, test_acc=0.0913]
Iter 0 | Epoch 36:  37%|███▋      | 37/100 [02:13<03:46,  3.59s/it, acc=0.703, lr=0.001, test_acc=0.0913]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [02:13<03:46,  3.59s/it, acc=0.703, lr=0.001, test_acc=0.0913]
Iter 0 | Epoch 37:  37%|███▋      | 37/100 [02:17<03:46,  3.59s/it, acc=0.713, lr=0.001, test_acc=0.264] 
Iter 0 | Epoch 37:  38%|███▊      | 38/100 [02:17<03:42,  3.59s/it, acc=0.713, lr=0.001, test_acc=0.264]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [02:17<03:42,  3.59s/it, acc=0.713, lr=0.001, test_acc=0.264]
Iter 0 | Epoch 38:  38%|███▊      | 38/100 [02:20<03:42,  3.59s/it, acc=0.745, lr=0.001, test_acc=0.188]
Iter 0 | Epoch 38:  39%|███▉      | 39/100 [02:20<03:39,  3.59s/it, acc=0.745, lr=0.001, test_acc=0.188]
