,timestamp,accuracy
652,1783121484.2434125,0.7445
653,1783121500.9523957,0.7445
654,1783121517.7722993,0.7091
655,1783121534.8933027,0.7394
656,1783121551.9421597,0.7415
657,1783121570.1075218,0.7447
658,1783121587.153703,0.7452
659,1783121605.071189,0.7462
660,1783121622.1978798,0.7426
661,1783121640.3505163,0.7463
662,1783121658.652035,0.7432
663,1783121676.0427115,0.7434
664,1783121692.820072,0.7359
665,1783121709.56752,0.736
666,1783121726.2120097,0.7448
667,1783121742.8484485,0.7462
668,1783121760.3546863,0.7404
669,1783121777.149351,0.7421
670,1783121793.7704012,0.7478
671,1783121811.9498677,0.7458
672,1783121829.9190454,0.7434
673,1783121846.9472024,0.7477
674,1783121864.5336962,0.7436
675,1783121881.2944818,0.7427
676,1783121897.9267185,0.7385
677,1783121914.546149,0.7468
678,1783121931.2523634,0.7424
679,1783121949.2944756,0.7509
680,1783121965.9070866,0.745
681,1783121982.486434,0.7446
682,1783121999.1964548,0.748
683,1783122015.7733164,0.7447
684,1783122032.460449,0.7436
685,1783122049.1579676,0.7443
686,1783122065.8733838,0.7474
687,1783122082.5168743,0.7374
688,1783122099.1017232,0.7366
689,1783122115.5977733,0.7394
690,1783122132.252391,0.7448
691,1783122149.2403939,0.7455
692,1783122165.8269346,0.7454
693,1783122182.430854,0.7464
694,1783122199.0836444,0.7483
695,1783122215.7872899,0.7518
696,1783122232.5184124,0.752
697,1783122249.2516167,0.7488
698,1783122265.9354067,0.7344
699,1783122282.6403437,0.7402
700,1783122304.8104372,0.749
701,1783122323.4443183,0.7538
702,1783122342.7177966,0.7562
703,1783122361.4851718,0.7557
704,1783122380.4335036,0.7544
705,1783122399.2346861,0.7542
706,1783122417.892689,0.754
707,1783122437.1141365,0.7538
708,1783122455.7997773,0.7543
709,1783122474.3952417,0.7545
710,1783122493.5571377,0.7546
711,1783122512.2309477,0.744
712,1783122530.8616507,0.7448
713,1783122549.5251195,0.7456
714,1783122569.209453,0.7511
715,1783122587.9118607,0.7515
716,1783122606.6775773,0.7535
717,1783122625.3941314,0.7586
718,1783122644.2086158,0.759
719,1783122663.0436704,0.7573
720,1783122683.2498176,0.7569
721,1783122703.6734836,0.7443
722,1783122723.674058,0.7486
723,1783122742.9464095,0.7583
724,1783122761.899087,0.7552
725,1783122781.0269403,0.7515
726,1783122800.0310373,0.7576
727,1783122818.7789328,0.7561
728,1783122837.5424116,0.7567
729,1783122856.3464851,0.7484
730,1783122874.960843,0.7554
731,1783122893.6920679,0.7516
732,1783122912.4021492,0.7594
733,1783122931.1304812,0.756
734,1783122950.8527048,0.762
735,1783122970.5154629,0.7597
736,1783122989.662225,0.7638
737,1783123009.0271397,0.7625
738,1783123028.3668623,0.7612
739,1783123047.6202095,0.7616
740,1783123066.265972,0.7546
741,1783123084.9771204,0.7466
742,1783123103.710559,0.7485
743,1783123122.253544,0.758
744,1783123141.4115138,0.7597
745,1783123161.9314084,0.7616
746,1783123181.751725,0.7551
747,1783123200.4822714,0.757
748,1783123219.5420492,0.7553
749,1783123238.9075174,0.7568
750,1783123258.5485408,0.7589
751,1783123278.3790655,0.7595
752,1783123298.6807294,0.7584
753,1783123318.6092196,0.7539
754,1783123337.4580905,0.755
755,1783123356.1412106,0.7546
756,1783123374.9115355,0.753
757,1783123395.0876746,0.7558
758,1783123414.1475964,0.7553
759,1783123432.9542787,0.7598
760,1783123451.8134115,0.7506
761,1783123470.571231,0.7546
762,1783123489.2806847,0.7533
763,1783123508.0636244,0.7605
764,1783123528.292283,0.7548
765,1783123547.0146716,0.7575
766,1783123567.1854281,0.7591
767,1783123585.8327467,0.7617
768,1783123605.2042952,0.7558
769,1783123624.5323234,0.7655
770,1783123643.3330758,0.7575
771,1783123662.327301,0.7583
772,1783123680.9121997,0.7634
773,1783123699.5055363,0.759
774,1783123718.185211,0.7602
775,1783123736.7326534,0.7578
776,1783123755.640695,0.7574
777,1783123774.2082174,0.754
778,1783123792.6942234,0.7622
779,1783123811.3473032,0.7591
780,1783123830.8967128,0.7606
781,1783123850.0070968,0.7628
782,1783123869.1985688,0.7644
783,1783123888.451635,0.7633
784,1783123907.771156,0.7648
785,1783123926.6665993,0.7632
786,1783123945.2196686,0.7602
787,1783123963.9130013,0.7572
788,1783123982.523891,0.7445
789,1783124001.2639706,0.7598
790,1783124019.9365878,0.7598
791,1783124038.8188095,0.7656
792,1783124057.59844,0.7616
793,1783124076.3833308,0.76
794,1783124095.147561,0.7589
795,1783124113.8881736,0.7606
796,1783124132.648728,0.76
797,1783124151.3308227,0.7597
